weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
19–21 Sep,1,Madeira,FNC,121.0,EUR,1,U27627 LIS-FNC 17:55-19:45,0,2026-09-09T08:49:38+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNGTkMaHhIKMjAyNi0wOS0yMSgBQBBqBRIDRk5DcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,2,London Gatwick,LGW,167.0,EUR,1,U28512 LIS-LGW 06:05-08:45,0,2026-09-09T08:49:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNMR1caHhIKMjAyNi0wOS0yMSgBQBBqBRIDTEdXcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,3,Dublin,DUB,182.0,EUR,1,FR7329 LIS-DUB 21:15-23:59,0,2026-09-09T08:49:38+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNEVUIaHhIKMjAyNi0wOS0yMSgBQBBqBRIDRFVCcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,4,London Luton,LTN,184.0,EUR,1,U22460 LIS-LTN 11:05-13:50,0,2026-09-09T08:49:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNMVE4aHhIKMjAyNi0wOS0yMSgBQBBqBRIDTFROcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,5,Milan Malpensa,MXP,212.0,EUR,1,U23874 LIS-MXP 20:55-00:35,0,2026-09-09T08:49:41+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNNWFAaHhIKMjAyNi0wOS0yMSgBQBBqBRIDTVhQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,6,Nice,NCE,213.0,EUR,1,U27611 LIS-NCE 15:55-19:20,0,2026-09-09T08:49:38+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0wOS0yMSgBQBBqBRIDTkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,7,Venice,VCE,216.0,EUR,1,VY8469 LIS-BCN 17:50-20:45 / VY6400 BCN-VCE 06:30-08:20,1,2026-09-09T08:49:42+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNWQ0UaHhIKMjAyNi0wOS0yMSgBQBBqBRIDVkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,8,Rome,FCO,226.0,EUR,1,VY8469 LIS-BCN 17:50-20:45 / VY6100 BCN-FCO 06:40-08:30,1,2026-09-09T08:49:41+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNGQ08aHhIKMjAyNi0wOS0yMSgBQBBqBRIDRkNPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,9,Prague,PRG,260.0,EUR,1,KL1580 LIS-AMS 11:55-15:50 / KL1359 AMS-PRG 18:20-19:50,1,2026-09-09T08:49:44+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNQUkcaHhIKMjAyNi0wOS0yMSgBQBBqBRIDUFJHcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,10,London Heathrow,LHR,268.0,EUR,1,AF1025 LIS-CDG 12:15-15:45 / AF1180 CDG-LHR 18:15-18:35,1,2026-09-09T08:49:44+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNMSFIaHhIKMjAyNi0wOS0yMSgBQBBqBRIDTEhScgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
