weekend,rank,destination,airport,google_total,currency,passengers,outbound_example,outbound_stops,checked_at,google_search_url
19–21 Sep,1,Porto,OPO,99.0,EUR,1,TP1922 LIS-OPO 08:05-09:00,0,2026-09-09T08:51:44+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0wOS0yMSgBQBBqBRIDT1BPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,2,Málaga,AGP,104.0,EUR,1,FR6627 LIS-AGP 20:30-22:45,0,2026-09-09T08:51:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNBR1AaHhIKMjAyNi0wOS0yMSgBQBBqBRIDQUdQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,3,Madrid,MAD,114.0,EUR,1,U27651 LIS-MAD 07:00-09:15,0,2026-09-09T08:51:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0wOS0yMSgBQBBqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,4,Valencia,VLC,115.0,EUR,1,FR7577 LIS-VLC 20:15-22:50,0,2026-09-09T08:51:45+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNWTEMaHhIKMjAyNi0wOS0yMSgBQBBqBRIDVkxDcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
19–21 Sep,5,Nantes,NTE,119.0,EUR,1,U27609 LIS-NTE 10:55-13:50,0,2026-09-09T08:51:49+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMTkoAUAGagUSA0xJU3IFEgNOVEUaHhIKMjAyNi0wOS0yMSgBQBBqBRIDTlRFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
25–28 Sep,1,Nantes,NTE,106.0,EUR,1,U24764 LIS-NTE 19:30-22:15,0,2026-09-09T08:52:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNOVEUaHhIKMjAyNi0wOS0yOCgBQBBqBRIDTlRFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
25–28 Sep,2,Madrid,MAD,131.0,EUR,1,U27689 LIS-MAD 18:50-21:10,0,2026-09-09T08:52:12+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0wOS0yOCgBQBBqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
25–28 Sep,3,Lyon,LYS,138.0,EUR,1,U24426 LIS-LYS 19:50-23:10,0,2026-09-09T08:52:17+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNMWVMaHhIKMjAyNi0wOS0yOCgBQBBqBRIDTFlTcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
25–28 Sep,4,Geneva,GVA,138.0,EUR,1,UX1156 LIS-MAD 16:05-18:20 / UX1663 MAD-GVA 07:50-09:45,1,2026-09-09T08:52:26+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNHVkEaHhIKMjAyNi0wOS0yOCgBQBBqBRIDR1ZBcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
25–28 Sep,5,Porto,OPO,142.0,EUR,1,TP1934 LIS-OPO 19:30-20:25,0,2026-09-09T08:52:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMDktMjUoAUAQagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0wOS0yOCgBQBBqBRIDT1BPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
2–5 Oct,1,Porto,OPO,99.0,EUR,1,TP1934 LIS-OPO 19:30-20:25,0,2026-09-09T08:52:38+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDIoAUAQagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0xMC0wNSgBQBBqBRIDT1BPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
2–5 Oct,2,Luxembourg,LUX,175.0,EUR,1,LX2087 LIS-ZRH 18:20-22:15 / LX750 ZRH-LUX 08:30-09:30,1,2026-09-09T08:52:50+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDIoAUAQagUSA0xJU3IFEgNMVVgaHhIKMjAyNi0xMC0wNSgBQBBqBRIDTFVYcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
2–5 Oct,3,Nice,NCE,184.0,EUR,1,LX2087 LIS-ZRH 18:20-22:15 / LX562 ZRH-NCE 07:05-08:15,1,2026-09-09T08:52:42+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDIoAUAQagUSA0xJU3IFEgNOQ0UaHhIKMjAyNi0xMC0wNSgBQBBqBRIDTkNFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
2–5 Oct,4,Nantes,NTE,193.0,EUR,1,U24764 LIS-NTE 19:30-22:15,0,2026-09-09T08:52:44+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDIoAUAQagUSA0xJU3IFEgNOVEUaHhIKMjAyNi0xMC0wNSgBQBBqBRIDTlRFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
2–5 Oct,5,Lyon,LYS,218.0,EUR,1,U27599 LIS-LYS 17:25-20:45,0,2026-09-09T08:52:43+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDIoAUAQagUSA0xJU3IFEgNMWVMaHhIKMjAyNi0xMC0wNSgBQBBqBRIDTFlTcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,1,Madrid,MAD,85.0,EUR,1,U27689 LIS-MAD 18:50-21:10,0,2026-09-09T08:53:06+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMC0xMigBQBBqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,2,Nantes,NTE,92.0,EUR,1,U24764 LIS-NTE 19:30-22:15,0,2026-09-09T08:53:11+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNOVEUaHhIKMjAyNi0xMC0xMigBQBBqBRIDTlRFcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,3,Porto,OPO,99.0,EUR,1,TP1932 LIS-OPO 18:00-18:55,0,2026-09-09T08:53:06+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNPUE8aHhIKMjAyNi0xMC0xMigBQBBqBRIDT1BPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,4,Bilbao,BIO,99.0,EUR,1,VY2701 LIS-BIO 16:20-18:55,0,2026-09-09T08:53:08+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNCSU8aHhIKMjAyNi0xMC0xMigBQBBqBRIDQklPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
9–12 Oct,5,Málaga,AGP,100.0,EUR,1,FR3682 LIS-AGP 22:30-00:45,0,2026-09-09T08:53:07+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMDkoAUAQagUSA0xJU3IFEgNBR1AaHhIKMjAyNi0xMC0xMigBQBBqBRIDQUdQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,1,Málaga,AGP,54.0,EUR,1,FR3682 LIS-AGP 22:30-00:45,0,2026-09-09T08:53:33+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNBR1AaHhIKMjAyNi0xMC0xOSgBQBBqBRIDQUdQcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,2,Madrid,MAD,71.0,EUR,1,UX1160 LIS-MAD 20:05-22:20,0,2026-09-09T08:53:32+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMC0xOSgBQBBqBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,3,Valencia,VLC,126.0,EUR,1,UX1160 LIS-MAD 20:05-22:20 / UX4063 MAD-VLC 07:10-08:10,1,2026-09-09T08:53:33+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNWTEMaHhIKMjAyNi0xMC0xOSgBQBBqBRIDVkxDcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,4,Alicante,ALC,127.0,EUR,1,UX1160 LIS-MAD 20:05-22:20 / UX4047 MAD-ALC 07:00-08:10,1,2026-09-09T08:53:34+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNBTEMaHhIKMjAyNi0xMC0xOSgBQBBqBRIDQUxDcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
16–19 Oct,5,Bilbao,BIO,134.0,EUR,1,UX1160 LIS-MAD 20:05-22:20 / UX7153 MAD-BIO 14:55-15:55,1,2026-09-09T08:53:33+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMTYoAUAUagUSA0xJU3IFEgNCSU8aHhIKMjAyNi0xMC0xOSgBQBBqBRIDQklPcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
23–25 Oct,1,Madrid,MAD,91.0,EUR,1,UX1156 LIS-MAD 16:05-18:20,0,2026-09-09T08:53:52+01:00,https://www.google.com/travel/flights/search?tfs=Gh4SCjIwMjYtMTAtMjMoAUAQagUSA0xJU3IFEgNNQUQaHhIKMjAyNi0xMC0yNSgBQA5qBRIDTUFEcgUSA0xJU0IBAUgBiAEBmAEB&hl=en&gl=PT&curr=EUR
